Region,Expected Reports,Received Reports,Compliance (%),Week,Year,Source link,Source title,datetime_loaded
AJK,476,464,97,19,2026,https://www.nih.org.pk/wp-content/uploads/2026/06/IDSRS Weekly Report-19-2026-NG reviewed.pdf,IDSRS Week 19 Bulletin (2026),2026-08-08T00:40:28Z
ICT,38,27,71,19,2026,https://www.nih.org.pk/wp-content/uploads/2026/06/IDSRS Weekly Report-19-2026-NG reviewed.pdf,IDSRS Week 19 Bulletin (2026),2026-08-08T00:40:28Z
Balochistan,1303,621,48,19,2026,https://www.nih.org.pk/wp-content/uploads/2026/06/IDSRS Weekly Report-19-2026-NG reviewed.pdf,IDSRS Week 19 Bulletin (2026),2026-08-08T00:40:28Z
GB,405,339,84,19,2026,https://www.nih.org.pk/wp-content/uploads/2026/06/IDSRS Weekly Report-19-2026-NG reviewed.pdf,IDSRS Week 19 Bulletin (2026),2026-08-08T00:40:28Z
Sindh,2111,2080,99,19,2026,https://www.nih.org.pk/wp-content/uploads/2026/06/IDSRS Weekly Report-19-2026-NG reviewed.pdf,IDSRS Week 19 Bulletin (2026),2026-08-08T00:40:28Z
National,6610,5363,81,19,2026,https://www.nih.org.pk/wp-content/uploads/2026/06/IDSRS Weekly Report-19-2026-NG reviewed.pdf,IDSRS Week 19 Bulletin (2026),2026-08-08T00:40:28Z
KP,2277,1850,81,18,2026,https://www.nih.org.pk/wp-content/uploads/2026/05/IDSRS Weekly Report-18-NG (1).pdf,IDSRS Week 18 Bulletin (2026),2026-08-08T00:40:31Z
AJK,476,463,97,18,2026,https://www.nih.org.pk/wp-content/uploads/2026/05/IDSRS Weekly Report-18-NG (1).pdf,IDSRS Week 18 Bulletin (2026),2026-08-08T00:40:31Z
ICT,38,30,79,18,2026,https://www.nih.org.pk/wp-content/uploads/2026/05/IDSRS Weekly Report-18-NG (1).pdf,IDSRS Week 18 Bulletin (2026),2026-08-08T00:40:31Z
Balochistan,1303,578,44,18,2026,https://www.nih.org.pk/wp-content/uploads/2026/05/IDSRS Weekly Report-18-NG (1).pdf,IDSRS Week 18 Bulletin (2026),2026-08-08T00:40:31Z
GB,405,366,90,18,2026,https://www.nih.org.pk/wp-content/uploads/2026/05/IDSRS Weekly Report-18-NG (1).pdf,IDSRS Week 18 Bulletin (2026),2026-08-08T00:40:31Z
Sindh,2111,2076,98,18,2026,https://www.nih.org.pk/wp-content/uploads/2026/05/IDSRS Weekly Report-18-NG (1).pdf,IDSRS Week 18 Bulletin (2026),2026-08-08T00:40:31Z
National,6610,5363,81,18,2026,https://www.nih.org.pk/wp-content/uploads/2026/05/IDSRS Weekly Report-18-NG (1).pdf,IDSRS Week 18 Bulletin (2026),2026-08-08T00:40:31Z
KP,2277,1870,82,17,2026,https://www.nih.org.pk/wp-content/uploads/2026/05/Weekly Report-17-2026.pdf,IDSRS Week 17 Bulletin (2026),2026-08-08T00:40:34Z
AJK,476,463,97,17,2026,https://www.nih.org.pk/wp-content/uploads/2026/05/Weekly Report-17-2026.pdf,IDSRS Week 17 Bulletin (2026),2026-08-08T00:40:34Z
ICT,38,30,79,17,2026,https://www.nih.org.pk/wp-content/uploads/2026/05/Weekly Report-17-2026.pdf,IDSRS Week 17 Bulletin (2026),2026-08-08T00:40:34Z
Balochistan,1303,577,44,17,2026,https://www.nih.org.pk/wp-content/uploads/2026/05/Weekly Report-17-2026.pdf,IDSRS Week 17 Bulletin (2026),2026-08-08T00:40:34Z
GB,405,375,93,17,2026,https://www.nih.org.pk/wp-content/uploads/2026/05/Weekly Report-17-2026.pdf,IDSRS Week 17 Bulletin (2026),2026-08-08T00:40:34Z
Sindh,2111,2078,98,17,2026,https://www.nih.org.pk/wp-content/uploads/2026/05/Weekly Report-17-2026.pdf,IDSRS Week 17 Bulletin (2026),2026-08-08T00:40:34Z
National,6610,5393,82,17,2026,https://www.nih.org.pk/wp-content/uploads/2026/05/Weekly Report-17-2026.pdf,IDSRS Week 17 Bulletin (2026),2026-08-08T00:40:34Z
KP,2234,1748,78,16,2026,https://www.nih.org.pk/wp-content/uploads/2026/05/IDSRS Weekly Report-16-2026 - NG (1).pdf,IDSRS Week 16 Bulletin (2026),2026-08-08T00:40:37Z
AJK,469,361,77,16,2026,https://www.nih.org.pk/wp-content/uploads/2026/05/IDSRS Weekly Report-16-2026 - NG (1).pdf,IDSRS Week 16 Bulletin (2026),2026-08-08T00:40:37Z
ICT,38,30,79,16,2026,https://www.nih.org.pk/wp-content/uploads/2026/05/IDSRS Weekly Report-16-2026 - NG (1).pdf,IDSRS Week 16 Bulletin (2026),2026-08-08T00:40:37Z
Balochistan,1308,611,47,16,2026,https://www.nih.org.pk/wp-content/uploads/2026/05/IDSRS Weekly Report-16-2026 - NG (1).pdf,IDSRS Week 16 Bulletin (2026),2026-08-08T00:40:37Z
GB,417,371,89,16,2026,https://www.nih.org.pk/wp-content/uploads/2026/05/IDSRS Weekly Report-16-2026 - NG (1).pdf,IDSRS Week 16 Bulletin (2026),2026-08-08T00:40:37Z
Sindh,2111,2074,98,16,2026,https://www.nih.org.pk/wp-content/uploads/2026/05/IDSRS Weekly Report-16-2026 - NG (1).pdf,IDSRS Week 16 Bulletin (2026),2026-08-08T00:40:37Z
